                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
     1.000,   1,  0.17121888E+04,   0.60456754E+03,  -0.93521536E+04,  -0.13027696E+05,  -0.26893768E+03,   0.00000000E+00,   0.25079000E+04,   0.00000000E+00,   0.54977326E-09,
     1.999,   1,  0.96396666E+05,   0.36274472E+05,  -0.57582133E+06,  -0.40657313E+06,  -0.17796791E+05,   0.00000000E+00,   0.26751759E+06,   0.00000000E+00,   0.17196937E-09,
     2.996,   1,  0.19310378E+06,   0.36274472E+05,  -0.11545753E+07,  -0.43469371E+06,  -0.34228772E+05,   0.57903125E+05,   0.81545449E+06,   0.00000000E+00,  -0.49689455E-09,
     3.996,   1,  0.42892703E+06,   0.38692364E+06,  -0.17359272E+07,  -0.46217622E+06,  -0.40478095E+05,   0.17425512E+06,   0.16686697E+07,   0.00000000E+00,   0.13467959E-08,
     4.999,   1,  0.78364213E+06,   0.45141085E+06,  -0.23427845E+07,  -0.49019946E+06,  -0.44022553E+05,   0.30122870E+06,   0.24866704E+07,   0.00000000E+00,   0.60067046E-09,
     5.999,   1,  0.10643704E+07,   0.45141085E+06,  -0.29524982E+07,  -0.51815679E+06,  -0.75183258E+05,   0.38347131E+06,   0.29412392E+07,   0.00000000E+00,   0.57890271E-09,
     6.999,   1,  0.12526883E+07,   0.47962400E+06,  -0.35195546E+07,  -0.54520417E+06,  -0.97375794E+05,   0.42848713E+06,   0.31778219E+07,   0.00000000E+00,   0.64080359E-09,
     7.999,   1,  0.13950730E+07,   0.57635481E+06,  -0.40787219E+07,  -0.57288128E+06,  -0.12816150E+06,   0.49730777E+06,   0.33712287E+07,   0.00000000E+00,   0.73680024E-09,
     8.998,   1,  0.15223905E+07,   0.58844616E+06,  -0.46968487E+07,  -0.60099629E+06,  -0.17056523E+06,   0.57922861E+06,   0.35489243E+07,   0.00000000E+00,   0.10769791E-08,
     9.999,   1,  0.16400602E+07,   0.58844616E+06,  -0.53375135E+07,  -0.62851293E+06,  -0.20859148E+06,   0.68086469E+06,   0.37144413E+07,   0.00000000E+00,   0.19551764E-08,
    10.999,   1,  0.17696273E+07,   0.61262886E+06,  -0.59443774E+07,  -0.65648854E+06,  -0.23450969E+06,   0.77855346E+06,   0.39030330E+07,   0.00000000E+00,   0.36179327E-08,
    11.999,   1,  0.19737255E+07,   0.70129876E+06,  -0.65462284E+07,  -0.68488921E+06,  -0.23685267E+06,   0.84986048E+06,   0.41792752E+07,   0.00000000E+00,   0.36821136E-08,
    12.999,   1,  0.22964025E+07,   0.88266902E+06,  -0.71357086E+07,  -0.71269414E+06,  -0.23744530E+06,   0.88033662E+06,   0.45554911E+07,   0.00000000E+00,   0.16479516E-08,
    14.000,   1,  0.26230707E+07,   0.88266902E+06,  -0.77099518E+07,  -0.74006284E+06,  -0.25957428E+06,   0.87516380E+06,   0.49210933E+07,   0.00000000E+00,   0.15037392E-08,
    14.996,   1,  0.28543087E+07,   0.88266902E+06,  -0.83052014E+07,  -0.76806545E+06,  -0.29478273E+06,   0.86221056E+06,   0.52008135E+07,   0.00000000E+00,   0.21541501E-08,
    15.998,   1,  0.30318138E+07,   0.88266902E+06,  -0.89030741E+07,  -0.79614924E+06,  -0.31778279E+06,   0.85714235E+06,   0.54284495E+07,   0.00000000E+00,   0.54185339E-08,
    16.998,   1,  0.31804420E+07,   0.88266902E+06,  -0.95109395E+07,  -0.82355386E+06,  -0.34213917E+06,   0.90983573E+06,   0.56246152E+07,   0.00000000E+00,  -0.11599667E-07,
    18.000,   1,  0.33179080E+07,   0.10438870E+07,  -0.10110144E+08,  -0.85139582E+06,  -0.36249171E+06,   0.10152260E+07,   0.58089761E+07,   0.00000000E+00,  -0.67928332E-08,
    19.000,   1,  0.34529326E+07,   0.11406178E+07,  -0.10691114E+08,  -0.87933152E+06,  -0.36705076E+06,   0.11153400E+07,   0.59912960E+07,   0.00000000E+00,  -0.40406236E-08,
    20.000,   1,  0.35852633E+07,   0.11406178E+07,  -0.11267677E+08,  -0.90660838E+06,  -0.37122391E+06,   0.11813850E+07,   0.61704478E+07,   0.00000000E+00,  -0.18550053E-08,
    20.996,   1,  0.37156398E+07,   0.11406178E+07,  -0.11872540E+08,  -0.93437656E+06,  -0.37790051E+06,   0.12316048E+07,   0.63458830E+07,   0.00000000E+00,  -0.92026407E-09,
    21.999,   1,  0.38540430E+07,   0.11406178E+07,  -0.12473640E+08,  -0.96251146E+06,  -0.37945156E+06,   0.13293560E+07,   0.65260746E+07,   0.00000000E+00,  -0.50712160E-09,
    22.996,   1,  0.40106659E+07,   0.11446483E+07,  -0.13060739E+08,  -0.98992126E+06,  -0.37968691E+06,   0.14485322E+07,   0.67217125E+07,   0.00000000E+00,  -0.28231194E-09,
    24.000,   1,  0.41811366E+07,   0.12373486E+07,  -0.13652281E+08,  -0.10177513E+07,  -0.38746342E+06,   0.15385630E+07,   0.69423121E+07,   0.00000000E+00,  -0.27481954E-09,
    25.000,   1,  0.43578554E+07,   0.14872366E+07,  -0.14269574E+08,  -0.10457932E+07,  -0.40032150E+06,   0.16206361E+07,   0.71800304E+07,   0.00000000E+00,  -0.33114256E-09,
    26.000,   1,  0.45393398E+07,   0.14912670E+07,  -0.14915909E+08,  -0.10732904E+07,  -0.41400762E+06,   0.17157967E+07,   0.75497920E+07,   0.00000000E+00,  -0.36352318E-09,
    26.999,   1,  0.47379115E+07,   0.15315715E+07,  -0.15558828E+08,  -0.11007971E+07,  -0.41996942E+06,   0.18268043E+07,   0.81690720E+07,   0.00000000E+00,  -0.49340060E-09,
    27.998,   1,  0.49533947E+07,   0.15315715E+07,  -0.16207497E+08,  -0.11287928E+07,  -0.44375635E+06,   0.19088268E+07,   0.88971781E+07,   0.00000000E+00,  -0.93725776E-09,
    28.999,   1,  0.51481515E+07,   0.15315715E+07,  -0.16829630E+08,  -0.11566228E+07,  -0.47241118E+06,   0.19537609E+07,   0.95929213E+07,   0.00000000E+00,  -0.23154928E-08,
    29.998,   1,  0.53031530E+07,   0.15315715E+07,  -0.17437098E+08,  -0.11842474E+07,  -0.49296127E+06,   0.19907852E+07,   0.10248898E+08,   0.00000000E+00,  -0.14794877E-07,
    31.000,   1,  0.54317141E+07,   0.15315715E+07,  -0.18088037E+08,  -0.12122048E+07,  -0.51709440E+06,   0.20172932E+07,   0.10876899E+08,   0.00000000E+00,   0.16249571E-07,
    31.999,   1,  0.55469265E+07,   0.15759065E+07,  -0.18774656E+08,  -0.12398010E+07,  -0.54472332E+06,   0.20465058E+07,   0.11490830E+08,   0.00000000E+00,   0.66702946E-08,
    32.999,   1,  0.56552966E+07,   0.15960587E+07,  -0.19412814E+08,  -0.12673997E+07,  -0.55770402E+06,   0.20968643E+07,   0.12097532E+08,   0.00000000E+00,   0.34347017E-08,
    33.998,   1,  0.57547366E+07,   0.15960587E+07,  -0.19998256E+08,  -0.12954114E+07,  -0.58164761E+06,   0.21603686E+07,   0.12694276E+08,   0.00000000E+00,   0.21778590E-08,
    35.000,   1,  0.58457348E+07,   0.15960587E+07,  -0.20581413E+08,  -0.13230838E+07,  -0.61250316E+06,   0.22184117E+07,   0.13279478E+08,   0.00000000E+00,   0.18082371E-08,
    35.999,   1,  0.59324462E+07,   0.15960587E+07,  -0.21194178E+08,  -0.13506899E+07,  -0.64790507E+06,   0.22843368E+07,   0.13856577E+08,   0.00000000E+00,   0.17902664E-08,
    36.998,   1,  0.60179352E+07,   0.15960587E+07,  -0.21793242E+08,  -0.13788756E+07,  -0.67307063E+06,   0.23635368E+07,   0.14363935E+08,   0.00000000E+00,   0.17038315E-08,
    38.000,   1,  0.61019566E+07,   0.15960587E+07,  -0.22366543E+08,  -0.14066164E+07,  -0.70721263E+06,   0.24638591E+07,   0.14652476E+08,   0.00000000E+00,   0.26083365E-08,
    39.000,   1,  0.61899975E+07,   0.17371245E+07,  -0.22958001E+08,  -0.14337880E+07,  -0.72162041E+06,   0.25642900E+07,   0.14799052E+08,   0.00000000E+00,   0.48716360E-08,
    39.999,   1,  0.62894064E+07,   0.17774290E+07,  -0.23544543E+08,  -0.14615824E+07,  -0.72989647E+06,   0.26409062E+07,   0.14959612E+08,   0.00000000E+00,  -0.13696935E-07,
    40.998,   1,  0.63958054E+07,   0.20152255E+07,  -0.24123827E+08,  -0.14893897E+07,  -0.75134136E+06,   0.27149222E+07,   0.15124720E+08,   0.00000000E+00,  -0.85861956E-08,
    41.999,   1,  0.65023287E+07,   0.20434387E+07,  -0.24710430E+08,  -0.15164387E+07,  -0.80231453E+06,   0.28047480E+07,   0.15285533E+08,   0.00000000E+00,  -0.26374197E-08,
    42.996,   1,  0.66049477E+07,   0.20998650E+07,  -0.25308338E+08,  -0.15442475E+07,  -0.81786355E+06,   0.29157571E+07,   0.15437922E+08,   0.00000000E+00,  -0.17483892E-08,
    43.999,   1,  0.67052287E+07,   0.23940879E+07,  -0.25889562E+08,  -0.15722074E+07,  -0.82930979E+06,   0.30110158E+07,   0.15587977E+08,   0.00000000E+00,  -0.19385948E-08,
    44.999,   1,  0.68041751E+07,   0.23981183E+07,  -0.26489942E+08,  -0.15995245E+07,  -0.85293730E+06,   0.30639160E+07,   0.15736122E+08,   0.00000000E+00,  -0.12728891E-08,
    45.999,   1,  0.68982307E+07,   0.23981183E+07,  -0.27111861E+08,  -0.16275291E+07,  -0.87376100E+06,   0.30902853E+07,   0.15877129E+08,   0.00000000E+00,  -0.80639615E-09,
    46.999,   1,  0.69920273E+07,   0.24303619E+07,  -0.27691588E+08,  -0.16555373E+07,  -0.87928179E+06,   0.31008325E+07,   0.16017183E+08,   0.00000000E+00,  -0.65759882E-09,
    47.999,   1,  0.70838855E+07,   0.24303619E+07,  -0.28274776E+08,  -0.16830231E+07,  -0.89513854E+06,   0.31245245E+07,   0.16154345E+08,   0.00000000E+00,  -0.56602972E-09,
    49.000,   1,  0.71709644E+07,   0.24303619E+07,  -0.28867740E+08,  -0.17111396E+07,  -0.92365845E+06,   0.31773592E+07,   0.16286067E+08,   0.00000000E+00,  -0.47598261E-09,
    49.999,   1,  0.72725459E+07,   0.24303619E+07,  -0.29446285E+08,  -0.17391181E+07,  -0.94192153E+06,   0.32540516E+07,   0.16437213E+08,   0.00000000E+00,  -0.41174125E-09,
    51.000,   1,  0.74096831E+07,   0.24303619E+07,  -0.30027347E+08,  -0.17665709E+07,  -0.94766704E+06,   0.33361854E+07,   0.16624873E+08,   0.00000000E+00,  -0.40317687E-09,
    51.999,   1,  0.75600216E+07,   0.24303619E+07,  -0.30629120E+08,  -0.17947114E+07,  -0.96062593E+06,   0.34445807E+07,   0.16819378E+08,   0.00000000E+00,  -0.41291348E-09,
    52.996,   1,  0.76997031E+07,   0.24303619E+07,  -0.31214960E+08,  -0.18227676E+07,  -0.97793907E+06,   0.35665268E+07,   0.17001685E+08,   0.00000000E+00,  -0.40837317E-09,
    53.996,   1,  0.78605353E+07,   0.24303619E+07,  -0.31794841E+08,  -0.18501896E+07,  -0.98212815E+06,   0.36539712E+07,   0.17211306E+08,   0.00000000E+00,  -0.40812464E-09,
    54.996,   1,  0.81376208E+07,   0.24303619E+07,  -0.32423482E+08,  -0.18784096E+07,  -0.98228716E+06,   0.36885891E+07,   0.17540122E+08,   0.00000000E+00,  -0.41594070E-09,
    56.000,   1,  0.86190746E+07,   0.24303619E+07,  -0.33033541E+08,  -0.19065765E+07,  -0.98228716E+06,   0.36858246E+07,   0.18071510E+08,   0.00000000E+00,  -0.46107425E-09,
    56.999,   1,  0.92366065E+07,   0.25593363E+07,  -0.33600921E+08,  -0.19339690E+07,  -0.98228716E+06,   0.36724958E+07,   0.18932615E+08,   0.00000000E+00,  -0.66032908E-09,
    57.999,   1,  0.97639991E+07,   0.25593363E+07,  -0.34183538E+08,  -0.19620291E+07,  -0.10120582E+07,   0.36352130E+07,   0.19844775E+08,   0.00000000E+00,  -0.97637246E-09,
    58.996,   1,  0.10118919E+08,   0.25593363E+07,  -0.34777207E+08,  -0.19900152E+07,  -0.10423165E+07,   0.35977508E+07,   0.20488709E+08,   0.00000000E+00,  -0.14348629E-08,
    59.996,   1,  0.10392969E+08,   0.25593363E+07,  -0.35373328E+08,  -0.20172916E+07,  -0.10518162E+07,   0.35971736E+07,   0.20998552E+08,   0.00000000E+00,  -0.19117749E-08,
    61.000,   1,  0.10632483E+08,   0.25794886E+07,  -0.35974585E+08,  -0.20453095E+07,  -0.10518162E+07,   0.36444837E+07,   0.21460104E+08,   0.00000000E+00,  -0.24487765E-08,
    61.998,   1,  0.10836537E+08,   0.25794886E+07,  -0.36557534E+08,  -0.20735012E+07,  -0.10956651E+07,   0.37184725E+07,   0.21869820E+08,   0.00000000E+00,  -0.24144745E-08,
    62.999,   1,  0.11000733E+08,   0.25794886E+07,  -0.37126765E+08,  -0.21007383E+07,  -0.11516360E+07,   0.37873708E+07,   0.22213209E+08,   0.00000000E+00,  -0.24265345E-08,
    63.998,   1,  0.11138472E+08,   0.25794886E+07,  -0.37713968E+08,  -0.21289056E+07,  -0.12366553E+07,   0.38297404E+07,   0.22511359E+08,   0.00000000E+00,  -0.18568346E-08,
    64.996,   1,  0.11263229E+08,   0.25794886E+07,  -0.38321438E+08,  -0.21574390E+07,  -0.13250585E+07,   0.38588373E+07,   0.22990697E+08,   0.00000000E+00,  -0.17457475E-08,
    65.996,   1,  0.11384428E+08,   0.25794886E+07,  -0.38912985E+08,  -0.21850108E+07,  -0.13698742E+07,   0.39168526E+07,   0.23833913E+08,   0.00000000E+00,  -0.30551289E-08,
    66.996,   1,  0.11508423E+08,   0.25915799E+07,  -0.39494664E+08,  -0.22127749E+07,  -0.13796717E+07,   0.40145837E+07,   0.24811445E+08,   0.00000000E+00,  -0.20460607E-07,
    67.998,   1,  0.11634882E+08,   0.26399453E+07,  -0.40088750E+08,  -0.22409061E+07,  -0.13860668E+07,   0.41070840E+07,   0.25691398E+08,   0.00000000E+00,   0.10015599E-07,
    68.996,   1,  0.11754763E+08,   0.26399453E+07,  -0.40678948E+08,  -0.22687040E+07,  -0.14145442E+07,   0.41653553E+07,   0.26314458E+08,   0.00000000E+00,   0.73692734E-08,
    69.999,   1,  0.11861923E+08,   0.26762194E+07,  -0.41258446E+08,  -0.22959371E+07,  -0.14334313E+07,   0.42105391E+07,   0.26645081E+08,   0.00000000E+00,   0.10151937E-07,
    70.999,   1,  0.11958426E+08,   0.26762194E+07,  -0.41844082E+08,  -0.23239545E+07,  -0.15093207E+07,   0.42849394E+07,   0.26872689E+08,   0.00000000E+00,   0.34858348E-07,
    71.998,   1,  0.12048811E+08,   0.26762194E+07,  -0.42437046E+08,  -0.23522976E+07,  -0.15637304E+07,   0.43936242E+07,   0.27086899E+08,   0.00000000E+00,  -0.26696909E-07,
    72.996,   1,  0.12137233E+08,   0.26762194E+07,  -0.43026659E+08,  -0.23796356E+07,  -0.15964055E+07,   0.45153049E+07,   0.27290830E+08,   0.00000000E+00,  -0.10951442E-07,
    74.000,   1,  0.12231983E+08,   0.32969087E+07,  -0.43627702E+08,  -0.24075409E+07,  -0.16108335E+07,   0.46157799E+07,   0.27521795E+08,   0.00000000E+00,   0.23420544E-06,
    74.999,   1,  0.12339345E+08,   0.32969087E+07,  -0.44240484E+08,  -0.24357590E+07,  -0.16448536E+07,   0.46712839E+07,   0.27764137E+08,   0.00000000E+00,  -0.19016430E-07,
    75.999,   1,  0.12448815E+08,   0.32969087E+07,  -0.44844842E+08,  -0.24631829E+07,  -0.16841804E+07,   0.46873145E+07,   0.28199069E+08,   0.00000000E+00,  -0.13258344E-07,
    76.996,   1,  0.12549484E+08,   0.32969087E+07,  -0.45433365E+08,  -0.24908999E+07,  -0.17121442E+07,   0.46903285E+07,   0.29014485E+08,   0.00000000E+00,  -0.58155613E-07,
    77.996,   1,  0.12643302E+08,   0.32969087E+07,  -0.46021945E+08,  -0.25191727E+07,  -0.17313786E+07,   0.46909370E+07,   0.29994836E+08,   0.00000000E+00,   0.16162217E-07,
    78.996,   1,  0.12735268E+08,   0.32969087E+07,  -0.46637940E+08,  -0.25471736E+07,  -0.17461961E+07,   0.46861859E+07,   0.30968011E+08,   0.00000000E+00,   0.85153186E-08,
    79.996,   1,  0.12833686E+08,   0.32969087E+07,  -0.47260222E+08,  -0.25747659E+07,  -0.17676601E+07,   0.46785690E+07,   0.31943863E+08,   0.00000000E+00,   0.63485888E-08,
    80.999,   1,  0.12943611E+08,   0.32969087E+07,  -0.47876172E+08,  -0.26028628E+07,  -0.17835449E+07,   0.46838358E+07,   0.32857039E+08,   0.00000000E+00,   0.49580534E-08,
    81.999,   1,  0.13051982E+08,   0.32969087E+07,  -0.48488172E+08,  -0.26310008E+07,  -0.18273706E+07,   0.47232553E+07,   0.33661375E+08,   0.00000000E+00,   0.42164659E-08,
    82.999,   1,  0.13149951E+08,   0.32969087E+07,  -0.49093420E+08,  -0.26583944E+07,  -0.18760566E+07,   0.48060016E+07,   0.34416874E+08,   0.00000000E+00,   0.36620953E-08,
    83.999,   1,  0.13243757E+08,   0.33210914E+07,  -0.49690602E+08,  -0.26861547E+07,  -0.18965411E+07,   0.48982122E+07,   0.35165566E+08,   0.00000000E+00,   0.31782265E-08,
    84.998,   1,  0.13338778E+08,   0.33457154E+07,  -0.50280714E+08,  -0.27143243E+07,  -0.19027188E+07,   0.49564408E+07,   0.35921846E+08,   0.00000000E+00,   0.28030835E-08,
    85.999,   1,  0.13452701E+08,   0.33457154E+07,  -0.50875681E+08,  -0.27420346E+07,  -0.19148976E+07,   0.50360751E+07,   0.36716511E+08,   0.00000000E+00,   0.24764315E-08,
    86.996,   1,  0.13629700E+08,   0.35245967E+07,  -0.51474074E+08,  -0.27691584E+07,  -0.19211590E+07,   0.51692137E+07,   0.37419989E+08,   0.00000000E+00,   0.20984972E-08,
    87.996,   1,  0.13950149E+08,   0.37908386E+07,  -0.52098621E+08,  -0.27971083E+07,  -0.19243679E+07,   0.53266975E+07,   0.38063314E+08,   0.00000000E+00,   0.17370400E-08,
    88.999,   1,  0.14353783E+08,   0.37908386E+07,  -0.52722951E+08,  -0.28254615E+07,  -0.19353648E+07,   0.54627371E+07,   0.38818396E+08,   0.00000000E+00,   0.15127954E-08,
    89.996,   1,  0.14704936E+08,   0.37908386E+07,  -0.53322008E+08,  -0.28821254E+07,  -0.19597673E+07,   0.56701027E+07,   0.39573155E+08,   0.00000000E+00,   0.13641134E-08,
    91.000,   1,  0.15044765E+08,   0.42026816E+07,  -0.53898185E+08,  -0.30840936E+07,  -0.19740157E+07,   0.59794322E+07,   0.40299435E+08,   0.00000000E+00,   0.11293555E-08,
    91.999,   1,  0.15405566E+08,   0.45604442E+07,  -0.54473656E+08,  -0.34383212E+07,  -0.19920710E+07,   0.62535642E+07,   0.41033070E+08,   0.00000000E+00,   0.10172990E-08,
    92.996,   1,  0.15780961E+08,   0.45604442E+07,  -0.55090284E+08,  -0.40396717E+07,  -0.20074472E+07,   0.64298761E+07,   0.41788068E+08,   0.00000000E+00,   0.10261868E-08,
    93.996,   1,  0.16328265E+08,   0.45604442E+07,  -0.55706845E+08,  -0.47333330E+07,  -0.20255812E+07,   0.65324359E+07,   0.42807029E+08,   0.00000000E+00,   0.99550118E-09,
    95.000,   1,  0.17183814E+08,   0.49847673E+07,  -0.56300529E+08,  -0.55165265E+07,  -0.20348912E+07,   0.66268999E+07,   0.44287104E+08,   0.00000000E+00,   0.85188671E-09,
    96.000,   1,  0.18109839E+08,   0.49847673E+07,  -0.56903234E+08,  -0.64640912E+07,  -0.20433380E+07,   0.67964854E+07,   0.46079701E+08,   0.00000000E+00,   0.74213864E-09,
    96.999,   1,  0.19165782E+08,   0.54714909E+07,  -0.57511512E+08,  -0.71088969E+07,  -0.20542432E+07,   0.70415734E+07,   0.48117282E+08,   0.00000000E+00,   0.59894652E-09,
    97.999,   1,  0.20195027E+08,   0.54839710E+07,  -0.58113647E+08,  -0.75026708E+07,  -0.20635775E+07,   0.72893895E+07,   0.50189282E+08,   0.00000000E+00,   0.50746832E-09,
    98.999,   1,  0.20829983E+08,   0.54839710E+07,  -0.58737439E+08,  -0.79366447E+07,  -0.20991701E+07,   0.74339815E+07,   0.51809214E+08,   0.00000000E+00,   0.46992683E-09,
    99.999,   1,  0.21256973E+08,   0.54839710E+07,  -0.59399565E+08,  -0.85809850E+07,  -0.21277124E+07,   0.74804707E+07,   0.52924536E+08,   0.00000000E+00,   0.47178272E-09,
   100.996,   1,  0.21590945E+08,   0.54839710E+07,  -0.60083268E+08,  -0.94916352E+07,  -0.21574202E+07,   0.75433751E+07,   0.53761682E+08,   0.00000000E+00,   0.49256720E-09,
   101.999,   1,  0.21866188E+08,   0.54839710E+07,  -0.60787840E+08,  -0.10301257E+08,  -0.21672765E+07,   0.76280106E+07,   0.54456316E+08,   0.00000000E+00,   0.51917297E-09,
   102.999,   1,  0.22101770E+08,   0.55089312E+07,  -0.61469027E+08,  -0.10805754E+08,  -0.21683893E+07,   0.77670137E+07,   0.55069638E+08,   0.00000000E+00,   0.53026179E-09,
   103.998,   1,  0.22303242E+08,   0.55089312E+07,  -0.62086414E+08,  -0.11197047E+08,  -0.21956872E+07,   0.79796295E+07,   0.55599151E+08,   0.00000000E+00,   0.53794191E-09,
   104.999,   1,  0.22468639E+08,   0.55089312E+07,  -0.62682224E+08,  -0.11587059E+08,  -0.22289625E+07,   0.82251491E+07,   0.56039515E+08,   0.00000000E+00,   0.54852477E-09,
   106.000,   1,  0.22609072E+08,   0.55130912E+07,  -0.63285440E+08,  -0.11905814E+08,  -0.22673944E+07,   0.84571838E+07,   0.56416641E+08,   0.00000000E+00,   0.56161071E-09,
   107.000,   1,  0.22733709E+08,   0.55255713E+07,  -0.63925847E+08,  -0.12084019E+08,  -0.22707328E+07,   0.86618364E+07,   0.56758468E+08,   0.00000000E+00,   0.56971667E-09,
   108.000,   1,  0.22849774E+08,   0.55255713E+07,  -0.64619125E+08,  -0.12164048E+08,  -0.22863726E+07,   0.88555110E+07,   0.57074982E+08,   0.00000000E+00,   0.57864864E-09,
   109.000,   1,  0.22952537E+08,   0.55255713E+07,  -0.65317287E+08,  -0.12203796E+08,  -0.23181279E+07,   0.90601128E+07,   0.57363550E+08,   0.00000000E+00,   0.59200043E-09,
   109.998,   1,  0.23041453E+08,   0.55505315E+07,  -0.65955129E+08,  -0.12231722E+08,  -0.23515925E+07,   0.92838661E+07,   0.57625942E+08,   0.00000000E+00,   0.59743287E-09,
   111.000,   1,  0.23143159E+08,   0.55671716E+07,  -0.66531193E+08,  -0.12259302E+08,  -0.23681957E+07,   0.95320802E+07,   0.57896944E+08,   0.00000000E+00,   0.59997423E-09,
   112.000,   1,  0.23282758E+08,   0.58001333E+07,  -0.67100634E+08,  -0.12287158E+08,  -0.23835762E+07,   0.98102399E+07,   0.58211013E+08,   0.00000000E+00,   0.59319346E-09,
   113.000,   1,  0.23431028E+08,   0.58126134E+07,  -0.67688781E+08,  -0.12334474E+08,  -0.23996758E+07,   0.10064092E+08,   0.58547765E+08,   0.00000000E+00,   0.59518730E-09,
   114.000,   1,  0.23550923E+08,   0.58126134E+07,  -0.68304272E+08,  -0.12957665E+08,  -0.24249970E+07,   0.10342395E+08,   0.58865797E+08,   0.00000000E+00,   0.62635862E-09,
   114.999,   1,  0.23650006E+08,   0.58126134E+07,  -0.68914046E+08,  -0.14093148E+08,  -0.24553832E+07,   0.10742107E+08,   0.59157294E+08,   0.00000000E+00,   0.67806965E-09,
   115.998,   1,  0.23778803E+08,   0.59706945E+07,  -0.69515999E+08,  -0.14832392E+08,  -0.24790410E+07,   0.11236920E+08,   0.59468854E+08,   0.00000000E+00,   0.70685128E-09,
   117.000,   1,  0.23952318E+08,   0.61578959E+07,  -0.70124798E+08,  -0.15220967E+08,  -0.24910710E+07,   0.11659935E+08,   0.59832204E+08,   0.00000000E+00,   0.70220378E-09,
   118.000,   1,  0.24111743E+08,   0.61578959E+07,  -0.70742830E+08,  -0.15570913E+08,  -0.24914135E+07,   0.11856131E+08,   0.60200256E+08,   0.00000000E+00,   0.72111001E-09,
   118.999,   1,  0.24232862E+08,   0.61620559E+07,  -0.71389218E+08,  -0.15792248E+08,  -0.24932947E+07,   0.11923128E+08,   0.60523960E+08,   0.00000000E+00,   0.74635980E-09,
   120.000,   1,  0.24329620E+08,   0.61620559E+07,  -0.72006153E+08,  -0.15873513E+08,  -0.25026447E+07,   0.12006578E+08,   0.60798997E+08,   0.00000000E+00,   0.76421463E-09,
   120.999,   1,  0.24413526E+08,   0.61786960E+07,  -0.72609020E+08,  -0.15905019E+08,  -0.25381545E+07,   0.12172359E+08,   0.61040219E+08,   0.00000000E+00,   0.77423751E-09,
